BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
3,24,12,17,Blue,0.000579834,Congruent
3,23,8,6,Yellow,0.0007019043,Congruent
3,22,17,13,Yellow,0.0006103516,Congruent
3,21,7,4,Yellow,0.0006713867,Congruent
3,20,24,16,Blue,0.0008544922,Incongruent
3,19,4,8,Yellow,0.0006103516,Incongruent
3,18,5,6,Yellow,0.001037598,Congruent
3,17,10,8,Blue,0.0007324219,Congruent
3,16,6,9,Yellow,0.0006103516,Congruent
3,15,13,13,Blue,0.0004882813,Congruent
3,14,7,8,Yellow,0.0006713867,Congruent
3,13,21,17,Yellow,0.0006103516,Congruent
3,12,16,15,Yellow,0.0006103516,Congruent
3,11,10,4,Yellow,0.0006713867,Congruent
3,10,14,20,Blue,0.000793457,Congruent
3,9,7,10,Yellow,0.0006713867,Congruent
3,8,3,5,Yellow,0.0004882813,Congruent
3,7,16,9,Yellow,0.0005493164,Congruent
3,6,12,7,Yellow,0.0006103516,Congruent
3,5,14,18,Yellow,0.0006103516,Congruent
3,4,15,14,Blue,0.0007324219,Congruent
3,3,12,11,Blue,0.0006103516,Incongruent
3,2,5,3,Yellow,0.0006103516,Congruent
3,1,6,10,Blue,0.0006103516,Congruent
3,0,16,8,Yellow,0.0006713867,Congruent
3,-1,9,8,Blue,0.0006713867,Congruent
