BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
3,26,11,14,Blue,0.0006103516,Congruent
3,25,12,10,Yellow,0.0005493164,Congruent
3,24,12,6,Yellow,0.0005187988,Congruent
3,23,18,12,Yellow,0.0006713867,Congruent
3,22,6,4,Yellow,0.0006103516,Congruent
3,21,8,14,Yellow,0.0006408691,Congruent
3,20,5,3,Yellow,0.0005187988,Congruent
3,19,19,16,Yellow,0.0006408691,Congruent
3,18,15,11,Yellow,0.0006408691,Congruent
3,17,16,9,Yellow,0.000579834,Congruent
3,16,7,10,Blue,0.0008239746,Congruent
3,15,20,17,Yellow,0.0005493164,Congruent
3,14,10,8,Yellow,0.0009765625,Congruent
3,13,9,14,Blue,0.0007019043,Congruent
3,12,4,6,Yellow,0.0006408691,Congruent
3,11,4,5,Blue,0.0006713867,Congruent
3,10,15,8,Yellow,0.001739502,Congruent
3,9,9,9,Yellow,0.000793457,Congruent
3,8,18,13,Yellow,0.0006713867,Congruent
3,7,12,8,Yellow,0.0009460449,Congruent
3,6,12,9,Yellow,0.0005187988,Congruent
3,5,15,15,Yellow,0.00100708,Congruent
3,4,11,8,Blue,0.001251221,Congruent
3,3,8,7,Yellow,0.0006103516,Congruent
3,2,12,20,Blue,0.000793457,Congruent
3,1,11,7,Yellow,0.0006103516,Congruent
3,0,18,11,Yellow,0.0006713867,Congruent
3,-1,13,8,Yellow,0.0006713867,Congruent
