BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
3,31,13,16,Blue,0.0005493164,Congruent
3,30,7,4,Yellow,0.0006713867,Congruent
3,29,6,12,Blue,0.0006713867,Incongruent
3,28,8,11,Blue,0.0006103516,Congruent
3,27,14,19,Blue,0.0009155273,Congruent
3,26,13,9,Yellow,0.0006713867,Congruent
3,25,4,7,Blue,0.0006713867,Congruent
3,24,8,10,Yellow,0.0006103516,Congruent
3,23,10,12,Yellow,0.0006713867,Congruent
3,22,14,15,Yellow,0.0006103516,Congruent
3,21,16,20,Blue,0.0006103516,Congruent
3,20,13,16,Yellow,0.001037598,Congruent
3,19,15,18,Blue,0.0007324219,Incongruent
3,18,14,11,Yellow,0.000793457,Congruent
3,17,19,8,Yellow,0.0007324219,Congruent
3,16,14,8,Yellow,0.0009155273,Congruent
3,15,12,16,Blue,0.0006713867,Congruent
3,14,12,14,Yellow,0.001037598,Incongruent
3,13,14,18,Blue,0.0008544922,Congruent
3,12,12,16,Yellow,0.0009155273,Congruent
3,11,9,12,Blue,0.0006713867,Congruent
3,10,12,19,Yellow,0.0006713867,Congruent
3,9,5,7,Blue,0.0006103516,Incongruent
3,8,8,5,Yellow,0.0006713867,Incongruent
3,7,13,11,Yellow,0.0006713867,Congruent
3,6,21,13,Yellow,0.0007324219,Congruent
3,5,9,12,Yellow,0.0006103516,Congruent
3,4,9,8,Yellow,0.0006103516,Incongruent
3,3,16,10,Yellow,0.0007324219,Congruent
3,2,13,9,Yellow,0.0006103516,Congruent
3,1,13,17,Blue,0.0006713867,Congruent
3,0,13,8,Yellow,0.0004882813,Congruent
3,-1,12,18,Blue,0.0006103516,Congruent
