BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
3,26,16,20,Yellow,0.000579834,Incongruent
3,25,14,13,Blue,0.000579834,Congruent
3,24,8,9,Yellow,0.0008850098,Incongruent
3,23,8,14,Blue,0.001251221,Incongruent
3,22,11,7,Blue,0.0008544922,Incongruent
3,21,7,6,Yellow,0.0005493164,Congruent
3,20,4,5,Blue,0.0007324219,Congruent
3,19,14,11,Yellow,0.000579834,Congruent
3,18,4,3,Blue,0.0006713867,Congruent
3,17,10,18,Blue,0.001373291,Congruent
3,16,5,7,Blue,0.0009155273,Congruent
3,15,10,14,Blue,0.0007019043,Incongruent
3,14,15,11,Blue,0.001373291,Incongruent
3,13,18,12,Blue,0.000793457,Congruent
3,12,19,13,Yellow,0.0006103516,Congruent
3,11,12,14,Yellow,0.0009765625,Incongruent
3,10,6,11,Blue,0.000579834,Incongruent
3,9,13,17,Blue,0.0007324219,Congruent
3,8,8,11,Blue,0.0008850098,Congruent
3,7,10,6,Yellow,0.0005493164,Congruent
3,6,12,16,Blue,0.0005493164,Congruent
3,5,7,4,Yellow,0.0006713867,Congruent
3,4,10,12,Yellow,0.0007324219,Congruent
3,3,8,10,Blue,0.0007324219,Incongruent
3,2,7,8,Yellow,0.0007324219,Congruent
3,1,12,22,Blue,0.0006713867,Congruent
3,0,19,12,Yellow,0.0006713867,Congruent
3,-1,9,10,Blue,0.0006103516,Congruent
